launch_id,mission_name,launch_year,date,success,failure_reason
81,STP-2,2019,2019-06-25T03:30:00.000Z,True,Not Applicable
82,CRS-18,2019,2019-07-25T22:01:00.000Z,True,Not Applicable
83,Amos-17,2019,2019-08-06T22:52:00.000Z,True,Not Applicable
84,Starlink 1,2019,2019-11-11T14:56:00.000Z,True,Not Applicable
85,CRS-19,2019,2019-12-05T17:29:23.000Z,True,Not Applicable
86,JCSat 18 / Kacific 1,2019,2019-12-17T00:10:00.000Z,True,Not Applicable
87,Starlink 2,2020,2020-01-07T02:19:00.000Z,True,Not Applicable
88,Crew Dragon In Flight Abort Test,2020,2020-01-19T14:00:00.000Z,True,Not Applicable
89,Starlink 3,2020,2020-01-29T14:06:00.000Z,True,Not Applicable
90,Starlink 4,2020,2020-02-17T15:05:55.000Z,True,Not Applicable
91,CRS-20,2020,2020-03-07T04:50:31.000Z,True,Not Applicable
92,Starlink 5,2020,2020-03-18T12:16:00.000Z,True,Not Applicable
93,Starlink 6,2020,2020-04-22T19:30:00.000Z,True,Not Applicable
94,CCtCap Demo Mission 2,2020,2020-05-30T19:22:00.000Z,True,Not Applicable
95,Starlink 7,2020,2020-06-04T01:25:00.000Z,True,Not Applicable
96,Starlink-8 & SkySat 16-18,2020,2020-06-13T09:21:00.000Z,True,Not Applicable
97,GPS III SV03 (Columbus),2020,2020-06-30T19:55:00.000Z,True,Not Applicable
98,ANASIS-II,2020,2020-07-20T21:30:00.000Z,True,Not Applicable
99,Starlink-9 (v1.0) & BlackSky Global 5-6,2020,2020-08-07T05:12:00.000Z,True,Not Applicable
100,Starlink-10 (v1.0) & SkySat 19-21,2020,2020-08-18T14:31:00.000Z,True,Not Applicable
101,"SAOCOM 1B, GNOMES-1, Tyvak-0172",2020,2020-08-30T23:18:00.000Z,True,Not Applicable
102,Starlink-11 (v1.0),2020,2020-09-03T12:46:00.000Z,True,Not Applicable
103,Starlink-12 (v1.0),2020,2020-10-06T11:29:00.000Z,True,Not Applicable
104,Starlink-13 (v1.0),2020,2020-10-18T12:25:00.000Z,True,Not Applicable
